"usid","issue"
"355US281",NA
"355US282",NA
"355US286",10600
"355US300",80220
"355US313",30010
"355US339",10090
"355US373",80010
"355US369",80110
"355US391",80300
"355US392",10020
"355US396",80010
"355US411",90120
"355US415",80220
"355US424",80040
"355US426",80070
"355US453",70100
"355US466",80100
"355US484",80100
"355US489",80100
"355US534",100050
"355US554",90120
"355US563",80040
"355US570",10420
"355US579",20240
"355US587",60010
"355US597",90180
"355US600",90130
"356US1",80010
"356US27",120010
"356US30",120010
"356US38",120010
"356US41",80040
"356US43",80190
"356US148",10090
"356US44",20280
"356US86",20280
"356US129",20280
"356US165",10080
"356US227",90110
"356US252",80040
"356US256",20280
"356US260",120010
"356US269",20110
"356US271",80040
"356US274",120020
"356US282",80010
"356US309",90250
"356US320",80050
"356US326",80070
"356US335",90480
"356US342",70070
"356US363",10080
"356US369",10300
"356US386",10300
"356US390",10010
"356US405",10480
"356US412",80240
"356US421",80240
"356US464",10170
"356US481",80230
"356US525",80040
"356US560",10010
"356US571",10170
"356US576",30050
"356US584",20040
"356US590",80350
"356US595",80350
"356US604",90390
"356US617",100020
"356US634",100020
"356US660",20280
"356US670",20280
"356US674",10280
"356US677",90110
"356US691",20110
"357US1",90120
"357US10",90120
"357US17",40070
"357US28",120010
"357US39",120010
"357US51",120010
"357US63",120010
"357US77",100100
"357US93",70150
"357US116",30060
"357US144",30060
"357US155",40070
"357US185",20110
"357US193",20110
"357US197",90110
"357US214",20370
"357US221",80050
"357US235",40060
"357US265",20250
"357US275",40070
"357US301",10050
"357US320",100100
"357US217",90150
"357US349",80060
"357US357",70090
"357US371",10090
"357US386",10170
"357US399",30120
"357US468",30120
"357US426",10010
"357US433",10010
"357US513",30070
"357US545",30070
"357US449",30010
"357US480",10050
"357US493",10050
"357US504",10010
"357US549",10130
"357US560",80170
"357US566",20050
"357US568",30070
"358US1",20050
"358US31",80040
"358US57",80040
"358US59",120020
"358US68",80220
"358US64",110020
"358US65",90150
"358US74",10370
"358US84",80350
"358US99",90120
"358US103",80310
"358US121",80240
"358US133",80240
"358US147",30050
"358US153",90120
"358US169",10380
"358US184",90120
"358US202",20040
"358US207",70040
"358US217",20160
"358US228",20240
"358US242",80020
"358US270",100020
"358US272",80050
"358US276",10010
"358US283",100030
"358US307",10050
"358US326",10360
"358US334",80010
"358US354",80050
"358US415",10390
"358US423",80070
"358US450",80100
"358US434",80100
"358US498",120020
"358US516",80010
"358US522",80100
"358US534",80100
"358US576",10170
"358US588",80050
"358US613",80070
"358US625",80050
"358US633",10120
"358US639",90340
"359US1",10600
"359US19",10170
"359US29",80030
"359US41",10080
"359US28",80100
"359US64",90160
"359US65",80120
"359US108",120010
"359US117",90150
"359US121",10170
"359US171",80110
"359US180",80050
"359US187",10170
"359US207",80010
"359US215",120010
"359US227",80040
"359US231",80040
"359US236",100020
"359US255",80140
"359US271",80010
"359US275",80060
"359US290",70040
"359US297",80070
"359US309",10170
"359US314",80060
"359US326",70030
"359US344",30050
"359US354",100020
"359US360",10050
"359US385",80010
"359US394",90040
"359US419",10430
"359US437",80040
"359US464",80240
"359US495",80050
"359US500",10580
"359US520",100120
"359US535",30120
"360US1",10370
"360US19",80010
"360US25",90090
"360US45",20010
"360US55",80010
"360US72",30050
"360US109",30050
"360US167",90010
"360US185",90090
"360US203",70170
"360US219",90090
"360US230",10110
"360US246",10050
"360US240",90350
"360US252",20350
"360US264",10200
"360US273",10580
"360US287",10120
"360US301",70070
"360US310",10260
"360US315",10010
"360US328",80050
"360US334",80110
"360US343",10160
"360US367",10160
"360US378",80300
"360US395",10160
"360US411",80070
"360US423",30050
"360US446",120010
"360US471",90010
"360US474",30120
"360US525",30030
"360US548",80050
"360US564",80140
"360US593",80140
"360US601",80050
"360US622",30010
"360US672",10490
"360US684",30190
"361US15",80040
"361US39",70110
"361US78",80220
"361US87",120010
"361US98",10050
"361US107",80040
"361US115",90130
"361US118",80060
"361US129",80070
"361US138",80040
"361US147",30190
"361US173",80020
"361US195",80300
"361US199",10010
"361US212",10330
"361US220",10370
"361US231",90150
"361US234",20240
"361US278",20240
"361US281",20240
"361US314",80050
"361US288",70040
"361US304",120010
"361US340",80050
"361US354",80040
"361US363",90130
"361US376",100110
"361US388",70040
"361US398",80070
"361US416",10170
"361US431",90430
"361US459",80070
"361US477",70070
"361US516",30010
"361US529",10170
"362US1",30120
"362US29",80010
"362US17",20010
"362US58",20010
"362US60",30010
"362US73",90340
"362US99",80270
"362US143",40020
"362US145",120010
"362US199",40010
"362US207",80100
"362US216",20320
"362US217",10050
"362US257",10050
"362US274",70140
"362US293",80120
"362US309",90330
"362US310",70040
"362US330",70110
"362US365",70110
"362US373",80190
"362US384",20270
"362US390",20110
"362US396",80040
"362US402",40020
"362US404",90320
"362US411",70030
"362US440",100090
"362US458",80020
"362US474",30090
"362US479",70200
"362US482",80130
"362US511",10370
"362US525",10500
"362US539",80070
"362US574",90170
"362US600",90150
"362US602",20010
"362US607",20320
"362US605",100020
"362US610",10080
"362US628",90340
"363US1",100040
"363US121",100040
"363US144",100030
"363US166",80010
"363US190",30160
"363US192",20350
"363US194",120010
"363US202",90120
"363US207",90190
"363US229",100080
"363US237",120030
"363US263",90120
"363US278",120020
"363US299",120020
"363US335",90140
"363US370",10450
"363US405",20110
"363US420",40010
"363US509",120030
"363US522",120030
"363US528",70190
"363US536",80010
"363US555",90090
"363US564",70010
"363US574",70010
"363US593",70010
"363US603",30120
"363US641",90320
"363US666",80050
"363US685",90500
"363US697",10120
"363US709",120010
"364US1",80240
"364US19",90140
"364US40",40070
"364US51",10400
"364US59",30130
"364US76",120010
"364US92",120010
"364US122",120010
"364US130",120010
"364US137",80300
"364US170",80300
"364US177",20040
"364US206",10050
"364US253",10060
"364US277",20370
"364US263",10050
"364US280",80010
"364US301",120030
"364US310",120030
"364US325",80040
"364US339",20010
"364US350",20280
"364US361",120010
"364US372",30050
"364US388",30050
"364US410",120010
"364US421",80070
"364US426",20280
"364US441",80040
"364US443",80100
"364US446",120030
"364US454",20080
"364US471",10090
"364US479",30010
"364US500",20050
"364US502",100040
"364US507",10110
"364US520",80140
"364US573",70120
"364US587",10470
"364US603",80030
"364US611",10020
"364US631",30060
"364US642",70030
"364US656",80010
"365US1",80310
"365US43",30010
"365US85",10160
"365US109",10120
"365US127",80010
"365US146",90330
"365US160",80040
"365US167",20400
"365US260",90140
"365US265",20280
"365US290",20280
"365US292",90150
"365US293",80050
"365US312",10160
"365US320",80010
"365US336",80180
"365US381",10050
"365US399",30050
"365US431",30050
"365US301",10370
"365US458",10050
"365US467",100110
"365US505",10050
"365US514",20400
"365US517",80100
"365US525",10120
"365US534",10010
"365US551",10570
"365US570",10120
"365US610",10050
"365US624",40070
"365US646",10360
"365US651",70030
"365US667",70030
"365US695",70030
"365US705",70030
"365US708",20350
"365US715",20040
"365US731",80050
"365US744",80100
"365US753",120010
"365US762",10010
"366US1",10090
"366US28",70040
"366US36",30080
"366US82",30080
"366US117",10090
"366US161",80040
"366US169",80020
"366US187",100030
"366US199",80100
"366US207",90150
"366US208",20040
"366US213",10490
"366US259",30050
"366US272",80220
"366US276",80110
"366US293",30010
"366US299",120020
"366US308",20270
"366US316",80020
"366US380",120010
"366US393",20250
"366US418",10330
"366US420",30170
"366US617",30160
"366US582",30170
"366US599",30160
"366US643",20250
"366US656",80300
"366US667",70140
"366US683",90110
"366US696",80060
"367US1",30060
"366US717",10260
"366US731",70100
"366US745",80220
"367US203",30060
"367US290",30060
"366US712",10280
"367US303",120010
"367US316",80260
"367US348",90320
"367US364",10170
"367US374",20250
"367US389",30060
"367US396",80280
"367US421",10370
"367US433",10010
"367US456",30050
"367US488",30160
"367US497",90250
"367US556",10110
"367US568",10010
"367US643",10050
"367US687",120010
"367US717",10050
"367US740",70030
"367US820",30010
"367US886",30120
"367US486",10580
"368US20",80060
"368US25",80110
"368US35",80070
"368US52",10120
"368US57",20130
"368US71",40060
"368US81",80240
"368US139",10020
"368US146",100060
"368US157",20080
"368US208",50040
"368US231",30060
"368US278",30110
"368US291",120030
"368US297",100030
"368US318",90120
"368US324",90130
"368US346",90420
"368US345",NA
"368US351",20160
"368US360",80010
"368US370",80240
"368US401",90120
"368US403",80120
"368US424",10370
"368US436",30120
"368US443",10120
"368US448",40020
"368US464",80010
"368US487",10030
"368US502",100020
"369US1",80050
"369US17",70200
"369US31",20040
"369US38",80030
"369US45",20160
"369US60",80130
"369US84",40070
"369US95",70160
"369US111",80190
"369US121",10370
"369US134",90090
"369US141",10170
"369US147",90160
"369US153",80030
"369US186",20090
"369US350",20040
"369US355",80040
"369US367",20280
"369US404",70080
"369US429",20090
"369US438",20390
"369US463",90140
"369US469",10580
"369US482",80020
"369US499",120020
"369US506",10120
"369US527",80070
"369US541",10260
"369US590",40070
"369US599",10090
"369US643",90320
"369US654",90110
"369US656",10020
"369US663",100070
"369US672",120010
"369US689",40020
"369US698",80070
"369US705",10570
"369US736",70070
"369US749",30050
"369US662",20390
"370US1",120010
